image,x,y,w,h,facenet_name,facenet_dist,eigen_name,eigen_dist,gt_name
01.jpg,14,59,35,35,ramanareddy,0.032477233558893204,hrithikroshan,3182.946044921875,ammitabhbacchan
01.jpg,47,91,83,83,jayabhaduri,0.05322382599115372,prema,3464.1943359375,ammitabhbacchan
02.jpg,194,25,69,69,mohanlal,0.0033191086258739233,dileep,2110.12353515625,ammitabhbacchan
02.jpg,489,37,77,77,jayram,0.024996960535645485,pavithralokesh,2989.391357421875,ammitabhbacchan
02.jpg,319,54,60,60,savithri,0.029106857255101204,faridajalal,3661.08642578125,ammitabhbacchan
02.jpg,147,45,73,73,ntr,0.02623421512544155,jayabhaduri,3914.8876953125,ammitabhbacchan
02.jpg,309,221,63,63,jayabhaduri,0.02677667886018753,ramyakrishna,4229.96630859375,ammitabhbacchan
03.jpg,64,56,51,51,anilkapoor,0.024676186963915825,madhuridixit,1913.101318359375,ammitabhbacchan
03.jpg,155,37,62,62,madhuridixit,0.0793461725115776,sharmilatagore,3603.40771484375,ammitabhbacchan
03.jpg,225,96,55,55,katrinakaif,0.045497722923755646,savithri,3424.259521484375,ammitabhbacchan
03.jpg,310,49,70,70,sharmilatagore,0.05330847203731537,ntr,3579.1982421875,ammitabhbacchan
03.jpg,408,109,34,34,kotasrinivasarao,0.13652414083480835,aarthi,2388.325927734375,ammitabhbacchan
04.jpg,258,34,72,72,sharmilatagore,0.0543055459856987,simran,2610.988525390625,ammitabhbacchan
04.jpg,324,111,76,76,madhuridixit,0.09529342502355576,shobana,4014.462890625,ammitabhbacchan
04.jpg,213,138,94,94,katrinakaif,0.05707758292555809,ranimukherji,3946.80517578125,ammitabhbacchan
04.jpg,342,309,61,61,anr,7.784422632539645e-05,bhanupriya,1322.6163330078125,ammitabhbacchan
04.jpg,28,281,88,88,jayabhaduri,0.046732306480407715,vajramuni,3784.628662109375,ammitabhbacchan
04.jpg,508,179,99,99,kajol,0.11458490043878555,dwarkish,3453.724365234375,ammitabhbacchan
05.jpg,470,87,72,72,faridajalal,0.15793317556381226,faridajalal,4821.69384765625,ammitabhbacchan
05.jpg,306,138,60,60,sharmilatagore,0.044706203043460846,ntr,4810.41357421875,ammitabhbacchan
05.jpg,602,93,67,67,suryakantham,0.05468187853693962,jayabhaduri,4146.52783203125,ammitabhbacchan
05.jpg,391,50,60,60,jagadeesh,0.033336739987134933,sureshgopi,3854.2041015625,ammitabhbacchan
05.jpg,929,65,72,72,madhuridixit,0.0638933852314949,ashwath,4304.98046875,ammitabhbacchan
05.jpg,71,91,74,74,anilkapoor,0.03282591700553894,vishnuvardhan,4379.93310546875,ammitabhbacchan
05.jpg,889,172,70,70,jagadeesh,0.032883428037166595,sharmilatagore,3814.05419921875,ammitabhbacchan
05.jpg,1089,81,60,60,ntr,0.06269101053476334,kareenakapoor,4051.8017578125,ammitabhbacchan
05.jpg,760,127,60,60,shilpashetty,0.049905914813280106,savithri,4750.10791015625,ammitabhbacchan
06.jpg,94,57,47,47,sharmilatagore,0.08369921147823334,vishnuvardhan,2998.22705078125,aamirkhan
06.jpg,512,38,49,49,rakheegulzar,0.116390161216259,ramyakrishna,2883.376220703125,aamirkhan
06.jpg,220,49,43,43,jamuna,0.0638468787074089,ntr,3728.021240234375,aamirkhan
