row_index,PlayerID,true_label,predicted_label,prob_High,prob_Low,prob_Medium
33212,42212,High,Medium,0.049065426492544535,0.04838626522285738,0.9025483082845981
32450,41450,High,Low,0.033091612461193375,0.9054638517199568,0.06144453581884981
25718,34718,High,High,0.8764313304816147,0.030566983743264636,0.09300168577512063
25647,34647,Medium,Medium,0.03478018159828663,0.04190545610848471,0.9233143622932286
6697,15697,Medium,Medium,0.09283066431640379,0.26231788300026043,0.6448514526833358
9578,18578,Low,Low,0.03215627863218703,0.9072055292009374,0.060638192166875514
22418,31418,Low,Low,0.026505879581022795,0.9195007673213259,0.05399335309765119
13852,22852,High,High,0.9151704832411828,0.029548947488529265,0.055280569270287995
35559,44559,Medium,Medium,0.03791968014826989,0.03620060503114854,0.9258797148205815
37904,46904,Low,Low,0.028410072462220586,0.9147626005235937,0.0568273270141856
336,9336,Medium,Medium,0.036395724072816056,0.03864624229962105,0.9249580336275628
22261,31261,Medium,Medium,0.03753179148653995,0.03941355341978355,0.9230546550936766
13433,22433,High,Low,0.028410072462220586,0.9147626005235937,0.0568273270141856
6518,15518,Low,Low,0.033372567415924724,0.9033069304476792,0.06332050213639596
33043,42043,Medium,Medium,0.037290440652083,0.04062454642331669,0.9220850129246002
10916,19916,Medium,Medium,0.038886252591924804,0.046166305018743775,0.9149474423893315
38118,47118,Medium,Medium,0.03527114626268923,0.03812634346140507,0.9266025102759058
14589,23589,Medium,Medium,0.026293840323421736,0.028771795854392216,0.9449343638221861
14029,23029,High,High,0.9059455444981147,0.034610132154841794,0.059444323347043554
11815,20815,High,Medium,0.04756437991436522,0.053403797534335044,0.8990318225512998
24102,33102,Medium,Low,0.0279926370683368,0.9159544857119251,0.05605287721973814
37284,46284,Medium,Medium,0.05390668613163613,0.06207317551391242,0.8840201383544514
37439,46439,Low,Low,0.17649493835787658,0.7645909400003764,0.05891412164174687
4840,13840,Medium,Medium,0.0457305986075405,0.047171275712554826,0.9070981256799047
30694,39694,High,High,0.9144529463258891,0.030165346139523253,0.055381707534587654
27993,36993,Medium,Medium,0.041377568240270474,0.04242187259119545,0.916200559168534
