row_index,PlayerID,true_label,predicted_label,prob_High,prob_Low,prob_Medium
33212,42212,High,Medium,0.03825553081751146,0.03356270333430849,0.9281817658481799
32450,41450,High,Low,0.036424458752026954,0.9303959102331799,0.03317963101479299
25718,34718,High,High,0.9393700487311474,0.028479896519331086,0.03215005474952159
25647,34647,Medium,Medium,0.03741270771550809,0.03320898984279882,0.9293783024416932
6697,15697,Medium,Medium,0.03182077490850906,0.040539206754164635,0.9276400183373262
9578,18578,Low,Low,0.03695309885244377,0.9226180766013656,0.04042882454619062
22418,31418,Low,Low,0.03139581002360256,0.927381574545167,0.041222615431230465
13852,22852,High,High,0.9377029552494854,0.02905530508527701,0.03324173966523749
35559,44559,Medium,Medium,0.03133842871414965,0.03509580467584836,0.9335657666100019
37904,46904,Low,Low,0.03373399341959785,0.9273237616390467,0.03894224494135553
336,9336,Medium,Medium,0.030504673684280104,0.029545298749437204,0.9399500275662827
22261,31261,Medium,Medium,0.03166081838828778,0.03379573855699677,0.9345434430547154
13433,22433,High,Low,0.03118392088194923,0.9359986224263763,0.03281745669167445
6518,15518,Low,Low,0.03030450508045697,0.9370027770245092,0.03269271789503386
33043,42043,Medium,Medium,0.03149142214823567,0.03357834223310848,0.9349302356186558
10916,19916,Medium,Medium,0.03595866358189242,0.03447702993724452,0.9295643064808631
38118,47118,Medium,Medium,0.036736142212522326,0.041035875553522595,0.922227982233955
14589,23589,Medium,Medium,0.0412626612521477,0.03900577079110689,0.9197315679567454
14029,23029,High,High,0.9295252549596501,0.03242055792464132,0.038054187115708675
11815,20815,High,Medium,0.03295917526011677,0.03598191353797011,0.9310589112019132
24102,33102,Medium,Low,0.03160958836982597,0.9174818996799529,0.050908511950221134
37284,46284,Medium,Medium,0.03650568865204956,0.03630883437002418,0.9271854769779263
37439,46439,Low,Low,0.030315486696144978,0.937382244101558,0.032302269202297035
4840,13840,Medium,Medium,0.035857437290283456,0.04152987476684653,0.9226126879428701
30694,39694,High,High,0.9247047627614644,0.037834565417465826,0.037460671821069685
27993,36993,Medium,Medium,0.03362598405413441,0.0318318053692186,0.9345422105766471
22606,31606,Medium,Medium,0.031847511839250886,0.0340606217196164,0.9340918664411327
22737,31737,Medium,Medium,0.033178755798855215,0.03517923392265216,0.9316420102784927
36934,45934,High,High,0.92640287725137,0.03149742058726216,0.04209970216136791
33527,42527,Medium,Medium,0.035039433837764596,0.03253425561085452,0.9324263105513809
21911,30911,Medium,High,0.9288780466540594,0.03382769453300499,0.03729425881293557
3413,12413,Low,Low,0.030334236491739774,0.937082569523693,0.03258319398456729
31047,40047,Medium,Medium,0.03150828558089131,0.03442889077775352,0.9340628236413552
8262,17262,Medium,Medium,0.03343926776955821,0.03157937593939322,0.9349813562910486
22731,31731,Low,Low,0.044194791180343966,0.6233857148378715,0.3324194939817845
31333,40333,High,High,0.9386182621679712,0.029401665655789486,0.03198007217623957
5141,14141,Medium,Medium,0.030243357171476307,0.031162454103737594,0.9385941887247862
17425,26425,Medium,Medium,0.030205663202313927,0.031898697576332624,0.9378956392213534
32600,41600,Medium,Medium,0.033553249910218325,0.03274466632019083,0.933702083769591
28493,37493,High,High,0.9267099934699248,0.03215683363408312,0.04113317289599212
5848,14848,Low,Low,0.032315265438494264,0.9337545852929625,0.0339301492685432
36108,45108,Low,Low,0.03631728502450047,0.83083464654224,0.13284806843325944
35044,44044,Low,Low,0.037748059050967765,0.9240214747900191,0.038230466159013175
38564,47564,High,High,0.9373740524868595,0.029712816338097265,0.03291313117504325
32873,41873,High,Medium,0.031082849722508438,0.031002371538126492,0.937914778739365
23508,32508,Low,Low,0.03024030158789869,0.9356679832366384,0.034091715175462924
11440,20440,Low,Low,0.035134316699540695,0.9310726621991082,0.03379302110135108
33801,42801,Medium,Medium,0.0358955907085629,0.03314471479731701,0.9309596944941201
194,9194,Medium,Medium,0.0341657469977957,0.03157972725209741,0.9342545257501068
33709,42709,High,High,0.9301015224987124,0.03200935190540272,0.03788912559588483
24753,33753,Medium,Medium,0.03480756425565569,0.036534220864564294,0.9286582148797801
3652,12652,High,High,0.9330573264833278,0.03339320228764343,0.033549471229028655
24245,33245,Medium,High,0.9252644769177554,0.030896768678799064,0.043838754403445535
4900,13900,Medium,Medium,0.03573982704254281,0.03597342142749128,0.9282867515299659
39248,48248,Low,Medium,0.032072092505631894,0.03014986438213557,0.9377780431122326
37207,46207,Medium,Medium,0.03942126698997617,0.03135977888623228,0.9292189541237915
4,9004,Medium,Medium,0.03728798048513325,0.03371481833676606,0.9289972011781007
29799,38799,Medium,Medium,0.034901874542906525,0.034836108208681264,0.9302620172484123
13620,22620,High,High,0.935479087776864,0.030167261498153516,0.03435365072498265
877,9877,Low,Low,0.033861557619947,0.8791972687468436,0.08694117363320941
22784,31784,Medium,Medium,0.03535508394696721,0.03696358945198355,0.9276813266010494
31713,40713,High,High,0.9225893741495872,0.03787778874398365,0.039532837106429214
5018,14018,Low,Low,0.029938891169883103,0.933265883772278,0.03679522505783872
39432,48432,High,High,0.9252914694934994,0.033608359015482404,0.04110017149101831
37268,46268,Medium,Medium,0.031240056028913128,0.030288691818327492,0.9384712521527594
24481,33481,Low,Medium,0.0355047581571044,0.03281048985459812,0.9316847519882975
26361,35361,Low,Low,0.03136217341886409,0.8892067597909037,0.07943106679023217
16948,25948,Low,Low,0.03278126056173233,0.934230317414129,0.032988422024138674
23116,32116,Low,Low,0.030351278609044737,0.9366174154743288,0.033031305916626376
9856,18856,High,Medium,0.13232492351903521,0.04082792354762851,0.8268471529333364
21634,30634,Medium,Medium,0.030124516294666046,0.030719561645692683,0.9391559220596414
27799,36799,Medium,Medium,0.03131430978240341,0.030777294980574715,0.9379083952370219
16445,25445,High,High,0.9379104567233106,0.029337931616173287,0.032751611660516156
31904,40904,Low,Medium,0.03435717015666326,0.07599859505628205,0.8896442347870547
